rvnm,stcd,stnm,tm,wptn,z
长江,60107000,茅坪(二),1782878400000,5,148.890
长江,60107000,茅坪(二),1782914400000,5,148.540
长江,60107000,茅坪(二),1782961200000,5,148.630
长江,60107000,茅坪(二),1782997200000,4,148.110
长江,60107000,茅坪(二),1783047600000,5,148.320
长江,60107000,茅坪(二),1783087200000,5,147.500
长江,60107000,茅坪(二),1783134000000,5,147.920
长江,60107000,茅坪(二),1783170000000,4,147.370
长江,60107000,茅坪(二),1783220400000,6,147.650
长江,60107000,茅坪(二),1783256400000,4,146.740
长江,60107000,茅坪(二),1783306800000,6,147.260
长江,60107000,茅坪(二),1783350000000,5,146.470
长江,60107000,茅坪(二),1783393200000,6,147.050
长江,60107000,茅坪(二),1783432800000,5,146.460
