oq,rvnm,stcd,stnm,tm,wptn,z
968,汉江,61802700,丹江口水库,1782878400000,5,161.810
1280,汉江,61802700,丹江口水库,1782914400000,5,161.780
701,汉江,61802700,丹江口水库,1782961200000,5,161.790
1620,汉江,61802700,丹江口水库,1783000800000,6,161.760
1640,汉江,61802700,丹江口水库,1783047600000,4,161.730
975,汉江,61802700,丹江口水库,1783087200000,6,161.720
1170,汉江,61802700,丹江口水库,1783134000000,6,161.700
1670,汉江,61802700,丹江口水库,1783170000000,4,161.670
786,汉江,61802700,丹江口水库,1783220400000,4,161.660
1580,汉江,61802700,丹江口水库,1783256400000,4,161.640
1040,汉江,61802700,丹江口水库,1783306800000,4,161.620
1380,汉江,61802700,丹江口水库,1783350000000,6,161.580
583,汉江,61802700,丹江口水库,1783393200000,6,161.570
801,汉江,61802700,丹江口水库,1783432800000,5,161.580
585,汉江,61802700,丹江口水库,1783479600000,6,161.570
593,汉江,61802700,丹江口水库,1783519200000,5,161.550
622,汉江,61802700,丹江口水库,1783566000000,6,161.550
1130,汉江,61802700,丹江口水库,1783609200000,6,161.530
736,汉江,61802700,丹江口水库,1783652400000,5,161.520
881,汉江,61802700,丹江口水库,1783692000000,5,161.520
606,汉江,61802700,丹江口水库,1783738800000,6,161.490
1620,汉江,61802700,丹江口水库,1783774800000,4,161.460
706,汉江,61802700,丹江口水库,1783825200000,6,161.470
1240,汉江,61802700,丹江口水库,1783861200000,6,161.450
581,汉江,61802700,丹江口水库,1783911600000,4,161.430
876,汉江,61802700,丹江口水库,1783951200000,4,161.400
531,汉江,61802700,丹江口水库,1783994400000,5,161.430
