q,rvnm,stcd,stnm,tm,wptn,z
46900,长江干流,60115000,大通,1782878400000,5,11.950
47400,长江干流,60115000,大通,1782914400000,4,12.080
47700,长江干流,60115000,大通,1782961200000,6,12.100
48600,长江干流,60115000,大通,1783000800000,6,12.220
49400,长江干流,60115000,大通,1783047600000,6,12.260
49400,长江干流,60115000,大通,1783087200000,6,12.410
49900,长江干流,60115000,大通,1783134000000,5,12.450
51900,长江干流,60115000,大通,1783170000000,5,12.540
52700,长江干流,60115000,大通,1783220400000,5,12.720
52400,长江干流,60115000,大通,1783256400000,6,12.790
53000,长江干流,60115000,大通,1783306800000,4,12.770
52800,长江干流,60115000,大通,1783350000000,4,12.770
53300,长江干流,60115000,大通,1783393200000,5,12.760
53100,长江干流,60115000,大通,1783432800000,6,12.760
53400,长江干流,60115000,大通,1783479600000,6,12.730
52600,长江干流,60115000,大通,1783519200000,6,12.740
52400,长江干流,60115000,大通,1783566000000,6,12.740
52300,长江干流,60115000,大通,1783609200000,4,12.720
52000,长江干流,60115000,大通,1783652400000,6,12.690
52200,长江干流,60115000,大通,1783692000000,6,12.660
51200,长江干流,60115000,大通,1783738800000,5,12.640
51200,长江干流,60115000,大通,1783774800000,4,12.610
50100,长江干流,60115000,大通,1783825200000,5,12.630
50800,长江干流,60115000,大通,1783861200000,5,12.800
50900,长江干流,60115000,大通,1783911600000,5,12.910
51000,长江干流,60115000,大通,1783951200000,4,12.900
50500,长江干流,60115000,大通,1783994400000,6,12.770
48900,长江干流,60115000,大通,1784034000000,4,12.720
49000,长江干流,60115000,大通,1784080800000,4,12.580
