q,rvnm,stcd,stnm,tm,wptn,z
17300,长江干流,60107300,宜昌,1785553200000,4,44.140
24200,长江干流,60107300,宜昌,1785589200000,5,45.970
17600,长江干流,60107300,宜昌,1785639600000,4,44.290
23800,长江干流,60107300,宜昌,1785675600000,5,45.920
17900,长江干流,60107300,宜昌,1785726000000,4,44.430
25800,长江干流,60107300,宜昌,1785765600000,5,46.420
17800,长江干流,60107300,宜昌,1785808800000,4,44.480
27300,长江干流,60107300,宜昌,1785852000000,5,46.960
18100,长江干流,60107300,宜昌,1785895200000,4,44.610
25300,长江干流,60107300,宜昌,1785938400000,4,46.490
17400,长江干流,60107300,宜昌,1785981600000,4,44.420
25200,长江干流,60107300,宜昌,1786024800000,4,46.390
14800,长江干流,60107300,宜昌,1786068000000,4,43.490
23200,长江干流,60107300,宜昌,1786107600000,5,45.680
13700,长江干流,60107300,宜昌,1786150800000,4,43.160
15500,长江干流,60107300,宜昌,1786190400000,5,43.430
13500,长江干流,60107300,宜昌,1786240800000,4,42.920
15500,长江干流,60107300,宜昌,1786276800000,5,43.410
14100,长江干流,60107300,宜昌,1786327200000,5,42.940
14700,长江干流,60107300,宜昌,1786366800000,4,43.240
14600,长江干流,60107300,宜昌,1786413600000,4,43.100
17000,长江干流,60107300,宜昌,1786453200000,5,43.760
17000,长江干流,60107300,宜昌,1786500000000,5,43.840
20400,长江干流,60107300,宜昌,1786539600000,5,44.810
17100,长江干流,60107300,宜昌,1786586400000,4,44.030
20200,长江干流,60107300,宜昌,1786626000000,5,44.820
16500,长江干流,60107300,宜昌,1786672800000,5,43.810
20300,长江干流,60107300,宜昌,1786712400000,5,44.750
14400,长江干流,60107300,宜昌,1786755600000,5,43.080
14700,长江干流,60107300,宜昌,1786795200000,5,43.050
13900,长江干流,60107300,宜昌,1786842000000,5,42.750
15200,长江干流,60107300,宜昌,1786881600000,5,43.160
14000,长江干流,60107300,宜昌,1786928400000,5,42.780
14800,长江干流,60107300,宜昌,1786968000000,5,43.020
14600,长江干流,60107300,宜昌,1787014800000,5,43.040
15000,长江干流,60107300,宜昌,1787054400000,4,43.230
14900,长江干流,60107300,宜昌,1787101200000,5,43.170
17000,长江干流,60107300,宜昌,1787140800000,5,43.790
16200,长江干流,60107300,宜昌,1787187600000,5,43.660
18300,长江干流,60107300,宜昌,1787227200000,5,44.180
19000,长江干流,60107300,宜昌,1787274000000,5,44.530
21300,长江干流,60107300,宜昌,1787313600000,5,45.140
17700,长江干流,60107300,宜昌,1787360400000,4,44.290
20200,长江干流,60107300,宜昌,1787400000000,5,44.910
17900,长江干流,60107300,宜昌,1787446800000,5,44.310
20400,长江干流,60107300,宜昌,1787486400000,5,44.930
16000,长江干流,60107300,宜昌,1787533200000,4,43.750
14800,长江干流,60107300,宜昌,1787572800000,4,43.320
14500,长江干流,60107300,宜昌,1787619600000,4,43.180
16100,长江干流,60107300,宜昌,1787659200000,5,43.520
14800,长江干流,60107300,宜昌,1787706000000,5,43.250
15600,长江干流,60107300,宜昌,1787745600000,5,43.420
14800,长江干流,60107300,宜昌,1787817600000,5,43.120
14400,长江干流,60107300,宜昌,1787864400000,4,43.170
14900,长江干流,60107300,宜昌,1787911200000,4,43.240
14600,长江干流,60107300,宜昌,1787950800000,4,43.190
