q,rvnm,stcd,stnm,tm,wptn,z
17300,长江干流,60107300,宜昌,1785553200000,4,44.140
24200,长江干流,60107300,宜昌,1785589200000,5,45.970
17600,长江干流,60107300,宜昌,1785639600000,4,44.290
23800,长江干流,60107300,宜昌,1785675600000,5,45.920
17900,长江干流,60107300,宜昌,1785726000000,4,44.430
25800,长江干流,60107300,宜昌,1785765600000,5,46.420
17800,长江干流,60107300,宜昌,1785808800000,4,44.480
27300,长江干流,60107300,宜昌,1785852000000,5,46.960
18100,长江干流,60107300,宜昌,1785895200000,4,44.610
25300,长江干流,60107300,宜昌,1785938400000,4,46.490
17400,长江干流,60107300,宜昌,1785981600000,4,44.420
25200,长江干流,60107300,宜昌,1786024800000,4,46.390
14800,长江干流,60107300,宜昌,1786068000000,4,43.490
23200,长江干流,60107300,宜昌,1786107600000,5,45.680
