q,rvnm,stcd,stnm,tm,wptn,z
26600,长江干流,60112200,汉口,1785553200000,4,21.040
26300,长江干流,60112200,汉口,1785589200000,6,20.990
26200,长江干流,60112200,汉口,1785639600000,6,20.920
26100,长江干流,60112200,汉口,1785675600000,6,20.860
26100,长江干流,60112200,汉口,1785726000000,4,20.780
26000,长江干流,60112200,汉口,1785765600000,4,20.720
26100,长江干流,60112200,汉口,1785808800000,4,20.680
26400,长江干流,60112200,汉口,1785852000000,6,20.640
26400,长江干流,60112200,汉口,1785895200000,6,20.620
26600,长江干流,60112200,汉口,1785938400000,6,20.600
26800,长江干流,60112200,汉口,1785981600000,6,20.600
27000,长江干流,60112200,汉口,1786024800000,4,20.600
27300,长江干流,60112200,汉口,1786068000000,6,20.620
27500,长江干流,60112200,汉口,1786107600000,6,20.640
27800,长江干流,60112200,汉口,1786150800000,6,20.670
28000,长江干流,60112200,汉口,1786190400000,5,20.700
27900,长江干流,60112200,汉口,1786240800000,6,20.700
27700,长江干流,60112200,汉口,1786276800000,6,20.670
27500,长江干流,60112200,汉口,1786327200000,6,20.630
26900,长江干流,60112200,汉口,1786366800000,6,20.620
