q,rvnm,stcd,stnm,tm,wptn,z
16400,长江干流,60105400,寸滩,1788199200000,4,167.500
15100,长江干流,60105400,寸滩,1788235200000,4,166.800
13600,长江干流,60105400,寸滩,1788278400000,4,166.280
12900,长江干流,60105400,寸滩,1788318000000,4,165.970
12100,长江干流,60105400,寸滩,1788364800000,4,165.490
11700,长江干流,60105400,寸滩,1788404400000,4,165.300
10900,长江干流,60105400,寸滩,1788451200000,4,164.810
10900,长江干流,60105400,寸滩,1788490800000,4,164.790
10800,长江干流,60105400,寸滩,1788534000000,4,164.710
10400,长江干流,60105400,寸滩,1788577200000,4,164.390
9910,长江干流,60105400,寸滩,1788616800000,5,164.020
