q,rvnm,stcd,stnm,tm,wptn,z
16400,长江干流,60105400,寸滩,1788199200000,4,167.500
15100,长江干流,60105400,寸滩,1788235200000,4,166.800
13600,长江干流,60105400,寸滩,1788278400000,4,166.280
12900,长江干流,60105400,寸滩,1788318000000,4,165.970
12100,长江干流,60105400,寸滩,1788364800000,4,165.490
11700,长江干流,60105400,寸滩,1788404400000,4,165.300
10900,长江干流,60105400,寸滩,1788451200000,4,164.810
10900,长江干流,60105400,寸滩,1788490800000,4,164.790
10800,长江干流,60105400,寸滩,1788534000000,4,164.710
10400,长江干流,60105400,寸滩,1788577200000,4,164.390
9910,长江干流,60105400,寸滩,1788616800000,5,164.020
10100,长江干流,60105400,寸滩,1788663600000,4,164.180
9550,长江干流,60105400,寸滩,1788706800000,4,163.690
9570,长江干流,60105400,寸滩,1788750000000,5,163.710
9520,长江干流,60105400,寸滩,1788800400000,5,163.660
9800,长江干流,60105400,寸滩,1788836400000,5,163.920
10000,长江干流,60105400,寸滩,1788883200000,5,164.100
10300,长江干流,60105400,寸滩,1789009200000,6,164.340
9920,长江干流,60105400,寸滩,1789095600000,5,164.030
12900,长江干流,60105400,寸滩,1789182000000,6,165.940
9370,长江干流,60105400,寸滩,1789358400000,4,164.380
8830,长江干流,60105400,寸滩,1789444800000,5,164.020
9320,长江干流,60105400,寸滩,1789531200000,5,164.350
10300,长江干流,60105400,寸滩,1789617600000,5,165.000
10300,长江干流,60105400,寸滩,1789700400000,5,165.000
10700,长江干流,60105400,寸滩,1789786800000,5,165.520
